slug,title,publishDate,lastUpdated,wordCount,citationCount,internalLinksOutDossiers,internalLinksOutBlogs,internalLinksOutTotal,appRelatedLinks,inboundInternalLinks,metaTitleLength,metaDescriptionLength,hasStaleFigureRisk,staleFigureDetail,intent,gscImpressions,gscClicks,gscPosition,priorityScore,verdict,notes
semax-neuroprotection-stroke,Semax and Stroke: What the Evidence Actually Supports,2025-09-26,,609,1,3,0,8,0,0,58,153,N,,news,1133,0,8.2,5302,optimize,ranks p8.2 on 1133 impressions with 0 clicks - CTR/title problem; no lastUpdated
semaglutide-vs-tirzepatide-2026,Semaglutide vs Tirzepatide: What the Evidence Says in 2026,2026-02-18,2026-02-18,1141,5,2,0,2,0,0,52,120,N,,research,1004,0,8.8,3012,optimize,ranks p8.8 on 1004 impressions with 0 clicks - CTR/title problem
dsip-sleep-quality-study,DSIP and Sleep: What the Human Trial Evidence Actually Shows,2026-01-14,,965,3,3,0,8,0,0,51,157,N,,news,592,0,10.4,1184,optimize,ranks p10.4 on 592 impressions with 0 clicks - CTR/title problem; no lastUpdated
cagrilintide-semaglutide-approval,Cagrilintide-Semaglutide Combination Enters FDA Review for Obesity,2025-12-01,,708,2,2,0,6,0,0,41,150,N,"CLEARED - lines 57/69 label 22.7% as trial-product, lead with 20.4%",news,233,0,13.3,727,optimize,"ranks p13.3 on 233 impressions with 0 clicks - CTR/title problem; 9mo old + ""ongoing/expected"" language; no lastUpdated"
retatrutide-phase3-enrollment,Inside the Retatrutide TRIUMPH Phase 3 Obesity Program,2025-08-04,,611,2,3,0,8,0,0,45,134,N,,news,131,0,8.0,613,optimize,"ranks p8 on 131 impressions with 0 clicks - CTR/title problem; 12mo old + ""ongoing/expected"" language; no lastUpdated"
ss31-mitochondrial-heart-failure,Research Demonstrates SS-31 Mitochondrial Protection in Heart Failure Models,2025-12-12,,547,3,1,0,4,0,0,47,148,N,,news,128,0,7.8,499,optimize,"ranks p7.8 on 128 impressions with 0 clicks - CTR/title problem; 8mo old + ""ongoing/expected"" language; no lastUpdated"
cagrisema-nda-filed-glp1-amylin-combo,CagriSema NDA Filed: First GLP-1 + Amylin Combo Achieves 23% Weight Loss,2025-06-30,,1188,4,3,0,7,0,0,43,136,N,"CLEARED - line 56 leads 20.4% treatment-policy, labels 22.7%",news,165,0,7.1,495,optimize,"ranks p7.1 on 165 impressions with 0 clicks - CTR/title problem; 14mo old + ""ongoing/expected"" language; no lastUpdated"
oxytocin-autism-cognition,Oxytocin and Autism — What the Meta-Analyses Actually Show,2025-11-19,,605,3,1,0,4,0,0,51,158,N,,news,104,0,8.2,406,optimize,ranks p8.2 on 104 impressions with 0 clicks - CTR/title problem; no lastUpdated
thymosin-alpha1-elderly-immune,New Thymosin Alpha-1 Study Shows Immune Enhancement in Elderly Adults,2025-09-10,,745,3,3,0,7,0,0,47,140,N,,news,88,0,7.1,343,optimize,"88 impressions, has a foothold; no lastUpdated"
what-is-mk-677,What is MK-677?,2025-11-12,2025-11-12,264,3,1,0,4,0,0,46,149,N,,commercial,261,0,34.3,339,refresh,261 impressions but p34.3 - needs depth to compete
fda-compounding-oversight,FDA Ends Shortage-Based Compounding of Semaglutide and Tirzepatide,2025-09-24,,917,2,3,0,6,0,0,48,145,N,,news,90,0,8.2,324,optimize,"90 impressions, has a foothold; no lastUpdated"
tirzepatide-surmount-osa,Tirzepatide SURMOUNT-OSA Trial Confirms Sleep Apnea Improvement,2025-12-15,,618,3,2,0,5,0,0,41,143,N,,news,63,0,6.3,246,optimize,"63 impressions, has a foothold; no lastUpdated"
pemvidutide-impact-mash-resolution,Pemvidutide IMPACT Results: 59% MASH Resolution in Phase 2 Trial,2025-08-22,,1212,4,3,0,8,0,0,45,157,N,,research,114,0,10.2,228,optimize,ranks p10.2 on 114 impressions with 0 clicks - CTR/title problem; no lastUpdated
ll37-wound-healing,LL-37 and Wound Healing — What the Evidence Actually Supports,2025-10-31,,665,3,3,0,6,0,0,48,149,N,,news,65,0,12.1,169,optimize,"65 impressions, has a foothold; no lastUpdated"
what-is-wegovy,What is Wegovy?,2025-07-11,2025-07-11,336,3,1,0,4,0,0,43,134,N,,commercial,432,0,76.6,168,refresh,432 impressions but p76.6 - needs depth to compete
survodutide-phase-2-mash-results,Survodutide Phase 2 MASH: 62% Improvement at 4.8mg,2025-08-04,,931,4,3,0,6,0,0,45,149,N,,research,73,0,10.7,146,optimize,"73 impressions, has a foothold; 12mo old + ""ongoing/expected"" language; no lastUpdated"
zepbound-sleep-apnea-approval,"Zepbound Approved for Sleep Apnea, Expanding GLP-1 Indications",2025-10-06,,1050,3,3,0,6,0,0,44,150,N,,news,481,0,73.1,144,refresh,"481 impressions but p73.1 - needs depth to compete; 10mo old + ""ongoing/expected"" language; no lastUpdated"
peptide-protacs-emerge-cancer-treatment,Peptide PROTACs Emerge as Promising Approach for Cancer Treatment,2025-10-20,,1087,4,1,0,4,0,0,47,136,N,,research,57,0,13.0,114,optimize,"57 impressions, has a foothold; no lastUpdated"
