surface_id,name,file,city,state,website,phone,featured,verifiedListing,placeholderWebsite,placeholderPhone
CLINIC-RECORD-1176,"Alamo Wellness & Peptide Center",src/content/clinics/alamo-wellness-san-antonio.mdx,"San Antonio","TX",https://example.com/alamo-wellness,(555) 210-7745,false,true,true,false
CLINIC-RECORD-1177,"Aloha Peptide & Longevity",src/content/clinics/aloha-peptide-honolulu.mdx,"Honolulu","HI",https://example.com/aloha-peptide,(555) 808-3352,false,true,true,false
CLINIC-RECORD-1178,"Atlantic Health & Peptide Therapy",src/content/clinics/atlantic-health-jacksonville.mdx,"Jacksonville","FL",https://example.com/atlantic-health-peptide,(555) 904-5521,false,true,true,false
CLINIC-RECORD-1179,"Beacon Wellness & Regenerative Health",src/content/clinics/beacon-wellness-boston.mdx,"Boston","MA",https://example.com/beacon-wellness,(555) 617-3392,false,true,true,false
CLINIC-RECORD-1180,"BioHack Wellness Center",src/content/clinics/biohack-wellness-denver.mdx,"Denver","Colorado",https://example.com/biohack-wellness,(303) 555-0500,false,true,true,true
CLINIC-RECORD-1181,"Bluff City Regenerative Health",src/content/clinics/bluff-city-regenerative-memphis.mdx,"Memphis","TN",https://example.com/bluff-city-regenerative,(555) 901-5543,false,true,true,false
CLINIC-RECORD-1182,"Brew City Performance & Peptide Clinic",src/content/clinics/brew-city-performance-milwaukee.mdx,"Milwaukee","WI",https://example.com/brew-city-performance,(555) 414-8867,false,true,true,false
CLINIC-RECORD-1183,"Buckeye Longevity Center",src/content/clinics/buckeye-longevity-columbus.mdx,"Columbus","OH",https://example.com/buckeye-longevity,(555) 614-3387,false,true,true,false
CLINIC-RECORD-1184,"Capitol City Peptide Clinic",src/content/clinics/capitol-city-peptide-sacramento.mdx,"Sacramento","CA",https://example.com/capitol-city-peptide,(555) 916-5534,false,true,true,false
CLINIC-RECORD-1185,"Cascade Peptide & Functional Medicine",src/content/clinics/cascade-peptide-portland.mdx,"Portland","OR",https://example.com/cascade-peptide,(555) 503-7729,false,true,true,false
CLINIC-RECORD-1186,"Chesapeake Peptide & Longevity",src/content/clinics/chesapeake-peptide-baltimore.mdx,"Baltimore","MD",https://example.com/chesapeake-peptide,(555) 410-3394,false,true,true,false
CLINIC-RECORD-1187,"Coastal Longevity & Performance",src/content/clinics/coastal-longevity-san-diego.mdx,"San Diego","CA",https://example.com/coastal-longevity,(555) 619-8842,false,true,true,false
CLINIC-RECORD-1188,"Commonwealth Wellness Center",src/content/clinics/commonwealth-wellness-richmond.mdx,"Richmond","VA",https://example.com/commonwealth-wellness,(555) 804-7793,false,true,true,false
